Left
007_tuna_fish_can X=285.397 Y=6.977 Z=126.468 P=14.015561 Y=91.383644 R=126.713676
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=16.171961 Y=-49.285812 R=129.796906
b_r_thumb1 X=272.318 Y=63.694 Z=30.152 P=26.104380 Y=-37.825035 R=164.390289
b_r_thumb2 X=270.011 Y=65.485 Z=28.722 P=17.187555 Y=-24.930792 R=148.323288
b_r_thumb3 X=267.084 Y=66.846 Z=27.723 P=24.395222 Y=-46.316456 R=159.980789
r_thumb_finger_tip_marker X=265.562 Y=68.545 Z=26.797 P=24.395227 Y=-46.316444 R=159.980774
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=28.731497 Y=-0.312761 R=97.766685
b_r_index2 X=262.956 Y=63.210 Z=29.445 P=42.631622 Y=2.497665 R=93.324387
b_r_index3 X=261.170 Y=63.132 Z=27.799 P=41.266510 Y=10.058743 R=94.227173
r_index_finger_tip_marker X=259.451 Y=62.805 Z=26.402 P=41.266510 Y=10.058777 R=94.227203
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=85.658997 Y=23.520081 R=95.350960
b_r_middle2 X=266.019 Y=60.880 Z=27.465 P=-0.397695 Y=-159.031906 R=-91.319771
b_r_middle3 X=268.591 Y=61.865 Z=27.484 P=-49.462505 Y=-141.449509 R=-114.418259
r_middle_finger_tip_marker X=269.961 Y=62.861 Z=29.323 P=-49.462498 Y=-141.449478 R=-114.418274
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=80.239677 Y=-91.320213 R=-30.300291
b_r_ring2 X=267.027 Y=59.751 Z=27.504 P=-10.909970 Y=-142.945389 R=-84.451370
b_r_ring3 X=269.109 Y=61.323 Z=28.007 P=-64.057335 Y=-138.199142 R=-89.570869
r_ring_finger_tip_marker X=270.027 Y=62.111 Z=30.124 P=-64.057343 Y=-138.199112 R=-89.570908
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=84.404922 Y=-71.072327 R=6.316415
b_r_pinky2 X=267.994 Y=57.614 Z=27.573 P=-2.859179 Y=-155.358078 R=-96.705063
b_r_pinky3 X=269.838 Y=58.460 Z=27.675 P=-54.391651 Y=-133.035599 R=-105.189713
r_pinky_finger_tip_marker X=270.784 Y=59.461 Z=29.385 P=-54.391651 Y=-133.035599 R=-105.189713
